10, 97.1509, (-3.74787,27.7781,85.5865), (3.16988,-2.66334,-1.20196)
20.0001, 99.9581, (-43.5619,0.401584,-90.5446), (-3.83676,1.86802,0.955523)
30, 103.662, (-26.1622,-35.7207,-136.753), (2.18507,-2.59324,2.88661)
40.0001, 100.288, (21.6608,-2.82189,-123.006), (-1.53033,-2.03054,3.56671)
50, 100.438, (-38.2481,-4.28543,11.6783), (1.97422,-2.60957,-2.91679)
60.0001, 103.236, (-13.3887,-31.5801,-100.739), (3.36323,-2.81647,-0.711782)
88.0001, 100.174, (-27.4071,-1.72743,199.602), (-4.16671,0.256132,-1.31815)
10.0001, 101.623, (34.6147,-15.8281,-74.2079), (-0.997887,-2.67991,-3.3562)
20.0001, 99.0527, (-30.5021,9.22946,-219.174), (-3.22176,-0.51815,2.88129)
30.0001, 96.0531, (-13.1004,38.4751,174.856), (-2.88412,-2.98903,1.06005)
40, 97.0523, (-28.3963,28.7287,-195.124), (-1.19947,-3.02313,2.82654)
50, 95.5282, (-0.748045,43.5861,250.94), (-3.06956,-2.08959,2.11829)
60.0001, 102.516, (26.0887,-24.5544,-93.5053), (4.29598,-1.01534,0.355359)
88.0001, 100.701, (39.8825,-6.86892,-270.689), (0.760178,-3.90325,-1.85802)
10, 103.012, (1.31433,-29.3701,-23.0859), (4.14999,1.57087,0.131987)
20, 96.7242, (-30.4962,31.9351,251.145), (-0.24288,3.73619,2.11813)
30.0001, 104.245, (8.01326,-41.4003,153.102), (2.13888,2.65672,2.88277)
40, 98.5679, (12.5199,13.9503,-260.368), (-2.47779,0.347093,-3.54928)
50.0001, 103.783, (20.1235,-36.9026,49.4523), (-2.36667,3.72827,-0.594821)
60.0001, 100.118, (31.1678,-1.17344,25.3991), (-1.39091,3.95212,-1.2649)
88.0001, 103.208, (-2.80937,-31.3153,115.497), (-0.951209,-0.424077,4.31977)
10.0001, 97.7265, (-20.7504,22.1655,-62.1603), (-1.2961,2.77179,3.0551)
20, 99.9303, (39.6679,0.672286,-76.935), (-2.40425,-3.57717,0.735797)
30, 103.314, (23.4939,-32.3285,65.6537), (-4.24233,-1.3294,-0.026217)
40.0001, 103.951, (-14.5379,-38.5365,-78.441), (-2.20946,0.583095,-3.82954)
50.0001, 98.9336, (-5.77364,10.3808,-52.4532), (1.7243,3.92254,-0.753517)
60, 99.812, (31.1177,1.81227,-225.456), (-0.805188,-3.87243,1.85776)
88, 103.52, (-15.3292,-34.3523,-12.8924), (-1.80317,-4.0469,0.419337)
10, 100.992, (-25.109,-9.67568,119.221), (-1.88122,3.92592,0.607621)
20, 96.5559, (-4.23516,33.5762,153.246), (-3.18031,2.87403,-0.312978)
30.0001, 99.6123, (28.7656,3.76957,-87.4971), (0.170676,-3.69185,2.32341)
40, 97.734, (5.82684,22.0807,72.0653), (-3.03376,1.44281,2.72257)
50.0001, 96.7096, (-21.1589,32.0662,-227.805), (-4.02004,-1.33405,-0.749249)
60.0001, 101.966, (36.2676,-19.1964,183.27), (0.994855,-1.63825,-3.97918)
88.0001, 102.211, (-22.2284,-21.5915,-206.506), (3.91313,2.01387,0.431328)
10.0001, 102.508, (26.1758,-24.4575,279.548), (-0.568655,3.40842,-2.76954)
20.0001, 101.131, (11.4825,-11.0389,-41.2871), (3.03587,2.67276,-1.72847)
30.0001, 100.322, (-42.2018,-3.15191,285.393), (3.9818,-0.913615,-1.58226)
40, 100.471, (3.05828,-4.60251,6.33899), (3.9296,1.82118,-0.68036)
50, 99.2536, (-44.0962,7.26092,12.1705), (-4.16335,0.00213676,-1.28648)
60, 103.51, (-28.2411,-34.2435,186.677), (0.204665,3.35584,2.91534)
88.0001, 102.286, (25.3667,-22.3215,168.268), (1.20104,-3.45542,-2.48721)
10.0001, 97.9629, (27.8774,19.8604,197.695), (0.502917,-4.09687,1.30549)
20, 101.043, (-23.9829,-10.1803,-143.496), (-3.21977,1.4382,2.62594)
30.0001, 99.5283, (-3.10312,4.58852,-251.14), (0.459613,4.17021,1.19966)
40.0001, 99.2595, (32.3928,7.20655,-217.206), (0.29005,-4.31489,-0.535969)
50.0001, 100.965, (-27.7143,-9.42996,42.1293), (-3.06729,-2.30315,-2.14551)
60, 100.393, (21.2617,-3.85283,140.25), (3.59708,2.35445,-0.850917)
88.0001, 99.3957, (24.5224,5.86027,27.1179), (0.229183,-4.35446,-0.0429485)
10.0001, 101.717, (-35.1844,-16.7496,-123.75), (2.25393,2.46787,-2.87911)
20, 99.1527, (37.0276,8.2544,101.283), (4.10297,1.30088,-0.665246)
30.0001, 100.782, (-0.644442,-7.6368,-244.636), (0.68303,2.26159,3.70129)
40.0001, 101.328, (-30.8572,-12.9675,-135.278), (-0.144239,1.94109,-3.94928)
50.0001, 101.008, (-15.9575,-9.8487,195.59), (1.0423,-3.67912,-2.16837)
60.0001, 96.092, (6.66363,38.0849,70.2946), (3.33816,-1.57802,2.17949)
88, 96.3894, (-15.679,35.1744,-60.735), (3.34458,0.443925,-2.65655)
10.0001, 99.8667, (44.7337,1.29638,104.64), (1.01145,2.30169,3.57561)
20, 98.5245, (39.0016,14.38,-169.956), (2.97876,-3.1581,0.0493616)
30, 103.651, (-27.1445,-35.6066,-163.341), (-1.94626,3.99688,-0.258331)
40.0001, 99.9187, (6.32704,0.779018,206.049), (-0.964023,4.2571,-0.251913)
50.0001, 101.588, (39.2735,-15.4975,-179.72), (0.337782,2.45902,-3.64337)
60.0001, 95.0186, (-22.3118,48.5522,212.941), (2.99786,-1.00107,2.86164)
88.0001, 97.7943, (1.20724,21.4761,35.438), (-1.00676,-2.00508,3.69803)
10, 99.8682, (-15.6893,1.28117,159.299), (0.751738,-1.05811,-4.17389)
20.0001, 101.446, (-23.7309,-14.1057,-244.015), (-1.97822,3.7854,-1.07949)
30, 102.551, (-8.97223,-24.885,-213.621), (2.0895,-3.90488,0.0724281)
40.0001, 95.9951, (5.40409,39.0371,279.229), (-3.4591,-2.48721,0.462076)
50, 100.636, (41.771,-6.21454,103.565), (-3.74339,2.22811,-0.524793)
60.0001, 100.427, (-4.41469,-4.18698,-77.7141), (-3.32871,-0.713247,-2.76116)
88, 102.589, (34.7387,-25.2804,96.771), (2.34126,1.07302,3.60469)
10, 101.661, (-1.8931,-16.1991,-224.011), (-2.14547,-1.82724,-3.39223)
20.0001, 100.145, (19.3389,-1.41762,255.065), (3.19059,-2.01003,-2.22236)
30, 99.2115, (35.548,7.6775,-281.098), (2.09536,2.95126,2.42487)
40, 99.2377, (4.64873,7.41861,-41.4482), (0.439616,2.79721,-3.31177)
50.0001, 101.43, (10.0476,-13.9636,174.17), (3.49412,-1.51837,2.21147)
60.0001, 98.8513, (8.11196,11.179,-122.798), (0.901334,4.15856,0.897521)
88.0001, 101.959, (39.4077,-19.13,-149.572), (0.598952,1.73192,4.01842)
10, 99.2955, (23.2153,6.86571,239.714), (-3.43604,0.527971,2.62896)
20.0001, 99.3969, (-41.1853,5.87305,-140.991), (-3.26946,-1.86458,2.20224)
30.0001, 98.2753, (-34.3248,16.8061,-289.008), (3.90669,-1.57153,1.03412)
40.0001, 98.3803, (37.1485,15.7785,-215.052), (-2.66809,3.30675,-0.876408)
50, 99.8807, (11.5814,1.14468,-18.9055), (-2.90364,2.64239,-1.92227)
60, 97.5273, (-2.4395,24.0881,-144.763), (-2.14576,1.33938,3.50143)
88.0001, 101.199, (-6.4011,-11.7279,-53.2524), (0.42098,-4.22198,-1.1655)
