1.00005, 101.991, (1697.3,-376.213,1033.43), (3.40201,1.37815,-2.45748)
5.00005, 101.753, (1735.61,-373.894,1062.8), (-4.12083,1.53393,-0.363967)
10.0001, 103.558, (2034.56,-391.493,842.733), (-1.07522,-2.23543,3.69576)
1.00008, 103.79, (1720.79,-393.755,1030.01), (-1.35208,3.87532,1.73497)
5.00005, 98.1642, (1870.3,-338.901,977.955), (-0.131215,4.02151,-1.60944)
10, 97.0254, (1691.83,-327.799,1085.54), (3.54694,0.909512,2.27029)
20, 62.1321, (1470.96,12.4382,1167.12), (-3.31645,-0.860142,0.384731)
30.0001, 100.182, (1913.24,-358.582,951.551), (0.36488,-2.61142,3.49476)
40.0001, 63.9687, (197.54,-5.47969,1503.27), (1.56232,-0.101056,-3.12842)
50.0001, 69.1333, (1607.14,-55.8475,1113.89), (-0.434548,1.8024,-3.12868)
60.0001, 69.1149, (1618.29,-55.6731,1115.35), (0.237112,-1.84667,3.12349)
70, 101.486, (1723.86,-371.326,1060.75), (-3.04965,1.15779,-2.96221)
80.0001, 96.2857, (1726.97,-320.623,1013.47), (-1.51978,2.95269,2.71893)
90, 104.87, (1637.88,-404.329,1136.73), (-3.34833,2.00789,-2.19544)
1.00005, 96.4813, (1954.68,-322.49,934.459), (3.26183,-2.23154,-1.68488)
5.00006, 101.31, (2019.2,-369.58,884.288), (0.710848,-4.15637,-1.26542)
10.0001, 103.054, (2050.72,-386.586,875.332), (2.87226,-1.95772,-2.7628)
20, 99.7639, (1814.17,-354.507,987.701), (-3.09464,-0.280173,-3.07096)
30.0001, 101.321, (2012.3,-369.7,890.8), (-4.01493,-1.74936,-0.451876)
40, 66.5231, (1634.46,-30.3885,1092.94), (1.08816,-1.53136,-3.03275)
50.0001, 61.8339, (14.2171,15.3296,-21.1714), (-1.6296,3.01626,-0.275994)
1.0001, 98.8758, (1789.08,-345.838,987.199), (3.02536,-1.40826,-2.7893)
5.00003, 101.07, (1855.07,-367.234,959.591), (3.24982,-0.24373,2.95215)
10.0001, 65.0909, (1302.02,-16.4207,1263.03), (-1.25235,-3.10687,1.10983)
1.00005, 102.358, (1868.24,-379.796,926.893), (3.25309,0.790017,2.89408)
5.00011, 104.241, (1580.12,-398.155,1070.4), (-1.65025,4.062,0.848214)
1.00002, 102.421, (1764.41,-380.411,1033.15), (-4.12398,-0.914876,1.32301)
5.00001, 65.1453, (1442.02,-16.9381,1209.32), (-3.05244,-1.7687,0.132159)
10, 64.4496, (851.91,-10.1576,1519.75), (0.387619,3.43359,0.624729)
20, 61.7789, (558.677,15.8762,1682.11), (2.04478,-0.711158,2.67062)
30.0001, 63.5519, (-0.70923,-1.41998,823), (1.18818,1.758,-2.76694)
40.0001, 63.2193, (1504.85,1.81739,1172.55), (-1.9041,-0.809909,2.79519)
50.0001, 63.3681, (12.1469,0.357415,1065.38), (2.80891,-2.00479,0.462583)
60, 66.284, (1636.94,-28.0821,1113.36), (0.598458,-0.145269,-3.50738)
70.0001, 97.5187, (1609.09,-332.654,1091.2), (4.21532,-0.941001,0.0465301)
80, 97.1916, (1930.77,-329.469,934.629), (-4.17542,0.850163,-0.661133)
90, 98.7611, (1802.85,-344.776,953.641), (3.54845,0.00624297,2.51053)
1.00002, 101.541, (2069.86,-371.827,823.688), (1.94932,2.62294,-2.95744)
5.00014, 63.857, (1347.7,-4.37649,1278.61), (2.43615,1.65983,-1.87797)
10, 104.102, (2077.83,-396.8,859.17), (1.01841,4.05771,-1.55364)
20.0001, 61.4574, (1454.7,19.0156,1193.52), (-2.02424,-2.45251,-1.28267)
30.0001, 63.9055, (-2.1347,-4.863,1104.12), (0.551355,-0.604826,-3.39943)
40, 99.1697, (1972.34,-348.728,849.89), (-4.22214,1.03059,-0.28963)
50.0001, 61.0458, (1378.77,23.0097,1236.87), (-3.39697,0.259201,-0.268803)
60, 89.4355, (1628.07,-253.824,1095.2), (-2.36539,-0.516415,-3.35387)
70, 63.2231, (2.71881,1.76403,764.122), (-1.24393,-1.32593,-2.96478)
80, 66.6124, (28.7787,-31.2897,-218.074), (2.40652,-2.34373,-1.20805)
90.0001, 63.6509, (23.5701,-2.41596,998.478), (0.941436,3.12543,1.23395)
1.00008, 100.441, (1830.58,-361.102,1006.02), (-3.76994,2.01603,0.968961)
5.00007, 96.0559, (1630.82,-318.344,1035.63), (-0.596648,-3.93974,1.58088)
10.0001, 100.104, (2108.31,-357.817,860.243), (-2.47389,3.58557,-0.417974)
20.0001, 98.3758, (1652.35,-340.969,1059.71), (-3.85539,1.95771,-0.352039)
30, 102.084, (1685.28,-377.137,1079.91), (-1.69275,3.08779,-2.67024)
40.0001, 66.7239, (1632.51,-32.3451,1097.99), (-0.552106,-3.4207,-0.871301)
50, 62.1952, (-11.7089,11.8087,442.031), (1.35138,-0.164733,3.16945)
60, 63.4989, (12.9121,-0.912259,451.552), (-0.693294,2.70898,-2.0806)
70.0001, 64.1824, (20.1458,-7.58089,-220.325), (-0.663397,0.0211234,3.44069)
80.0001, 60.1071, (-26.5425,32.1518,153.477), (-2.99682,-0.0584024,1.58586)
90.0001, 63.9447, (9.80554,-5.27178,-69.1278), (0.987606,2.89578,-1.69486)
1.00004, 102.917, (1943.04,-385.241,877.171), (2.30938,-2.79001,-2.56357)
5.00011, 97.8676, (1887.68,-336.009,951.682), (0.677759,2.47947,3.48083)
10.0001, 96.502, (2042.49,-322.695,814.475), (0.886464,2.22913,3.56472)
20.0001, 100.386, (1736.44,-360.576,1059.47), (-2.30922,-3.63868,0.795451)
30.0001, 103.853, (1766.57,-394.379,998.405), (-3.82059,-1.61035,1.63653)
40.0001, 96.2166, (1852.62,-319.925,952.653), (4.0736,-0.709224,1.14466)
50, 98.2404, (1895.9,-339.662,978.155), (-2.53949,3.26752,1.29188)
60, 62.4402, (781.742,9.41532,1565.83), (0.768693,-1.02058,3.21141)
70.0001, 62.3021, (-15.2962,10.7555,661.335), (-1.8173,2.7689,0.974576)
1.00007, 103.265, (2073.57,-388.635,818.393), (0.328748,-1.34562,-4.2234)
5.00008, 101.25, (1960.89,-368.992,873.18), (-0.233829,-4.33591,-0.71813)
10, 99.3534, (1699.21,-350.499,1007.6), (0.4191,1.26495,4.15113)
20, 101.076, (1782.64,-367.296,1002.93), (-3.4933,1.20777,-2.38226)
30, 100.109, (1921.14,-357.877,907.886), (2.243,-0.73305,-3.68562)
40.0001, 91.2603, (1625.17,-271.597,1088.41), (-0.952476,-1.20011,3.88739)
50, 62.4168, (1407.95,9.64603,1241.01), (2.35116,1.0076,2.32334)
60.0001, 63.3678, (-17.1734,0.365177,475.075), (-1.0861,-3.29839,-0.253075)
70.0001, 62.6898, (682.039,6.96947,1619.45), (2.24061,1.81119,1.92162)
1.00009, 101.711, (1650.25,-373.479,1064.8), (0.609993,-4.29799,-0.783411)
5.00001, 98.6164, (2055.65,-343.311,863.652), (0.883534,-3.50271,-2.41184)
10, 101.765, (2038.47,-374.019,822.587), (-0.0384566,-0.423731,4.39181)
20.0001, 96.8224, (1785.47,-325.824,1031.1), (-1.36659,0.39951,4.06155)
30.0001, 102.232, (2042.91,-378.581,814.221), (-0.782505,1.23527,4.17375)
40.0001, 96.5731, (1711.12,-323.401,1064.07), (1.01459,-2.9924,-2.91407)
50, 100.108, (2046.92,-357.871,847.073), (0.289721,-3.54454,-2.55034)
60.0001, 102.185, (2025.8,-378.126,857.372), (-2.98102,3.22481,-0.513171)
70.0001, 102.825, (1929.85,-384.377,963.328), (-2.94396,-3.10176,-1.17644)
80.0001, 101.95, (1813.84,-375.846,943.42), (0.784676,4.1266,1.36375)
90.0001, 62.8417, (549.844,5.48919,1712.39), (-1.5184,-0.545996,-3.069)
1.00009, 98.1865, (1919.72,-339.117,927.557), (-1.04596,-2.50995,-3.37497)
5.00004, 98.8399, (1816.83,-345.49,1012.61), (-1.13692,3.35143,2.5268)
10.0001, 100.668, (1752.45,-363.315,1006.76), (-2.46972,-3.51366,-0.902051)
20.0001, 98.6404, (1964.41,-343.551,932.387), (-1.8591,-3.02709,-2.50033)
30.0001, 102.487, (1675.96,-381.068,1080.3), (-1.66328,2.7698,3.02801)
40.0001, 97.4383, (1925.3,-331.839,951.044), (2.58686,-0.695662,3.38606)
50, 99.4761, (1764.7,-351.713,1003.15), (-3.39125,2.74344,-0.0635479)
60, 101.611, (1632.6,-372.538,1072.9), (2.43493,0.0342649,3.67553)
70, 62.3359, (536.357,10.429,1706.39), (3.34657,-0.0745043,-0.84887)
80, 65.756, (861.269,-22.9271,1534.07), (-1.93059,-2.97234,-0.134014)
90, 102.401, (1829.63,-380.255,1013.72), (-1.43441,3.75688,-1.84904)
1.00001, 95.9926, (1995.9,-317.725,842.495), (-1.67246,-2.64367,-2.92891)
5.00008, 101.151, (1700.91,-368.023,1018.19), (0.796632,4.07881,1.44227)
10.0001, 102.742, (1578.53,-383.544,1100.83), (4.11582,-0.480781,-1.57634)
20, 63.0123, (1295.65,3.8519,1273.91), (-0.315326,2.92492,1.84404)
1.00011, 96.406, (1684.2,-321.755,1069.36), (2.06815,-2.84234,2.4673)
5.00003, 100.657, (1791.23,-363.211,1034.11), (-1.86042,3.86967,0.906392)
10.0001, 100.984, (1599.88,-366.398,1118.44), (3.71845,1.08568,2.077)
20.0001, 97.6377, (1700.24,-333.773,1050.96), (-1.28567,0.437808,-4.10301)
30.0001, 62.9749, (817.248,4.21497,1552.73), (1.19967,1.46831,2.90736)
40, 100.547, (1623.55,-362.154,1037.86), (-3.62132,-1.0985,-2.21704)
50, 99.7107, (1727.91,-354.002,1009.01), (0.11624,3.4724,-2.64667)
60, 96.1242, (2053.08,-319.034,805.595), (3.88061,1.01755,-1.51501)
70.0001, 97.7693, (1804.49,-335.08,1020.07), (-1.27102,-1.38606,-3.8946)
1.00007, 99.8473, (1704.97,-355.311,1078.95), (-3.95728,1.60904,0.923594)
5.00012, 86.8496, (1628.88,-228.575,1109.13), (-0.90551,2.28036,3.25507)
10.0001, 64.1248, (1083.78,-6.99055,1416.87), (0.620269,1.53675,-3.0857)
20.0001, 99.6533, (1765.4,-353.431,1040.4), (-2.6052,0.20354,3.49807)
30.0001, 96.5441, (1956.54,-323.117,861.146), (-0.58928,3.23615,-2.7659)
40.0001, 61.2469, (7.36539,21.0573,1332.55), (2.22752,-2.47018,-0.808493)
50.0001, 100.535, (1733.73,-362.047,1038.08), (2.87726,0.419149,3.2832)
60, 102.56, (1602.49,-381.795,1123.22), (2.92429,3.18417,0.964697)
70.0001, 102.537, (2073.05,-381.573,842.594), (-2.39606,-2.42136,2.83064)
80.0001, 98.4574, (1865,-341.798,991.264), (-1.3315,-0.964876,-4.0165)
90.0001, 62.1423, (1393.41,12.3021,1239.48), (-1.81637,2.7451,1.02656)
1.00004, 63.8867, (1549.71,-4.66271,1160.82), (0.559892,-2.49328,2.38588)
5.00008, 62.7886, (747.269,6.0422,1609.71), (-0.188645,1.34533,-3.18854)
