1.00002, 100.215, (1831.11,-358.899,976.471), (0.570575,4.25287,0.871773)
5.00009, 65.4342, (1157.5,-19.7532,1364.07), (3.00317,-1.78041,-0.574049)
10, 61.4218, (607.231,19.3667,1693.71), (-0.16925,1.0477,-3.25952)
20.0001, 63.654, (6.51032,-2.40603,740.799), (2.64717,0.516026,2.21451)
30.0001, 62.2572, (2.97603,11.2065,1159.25), (-1.44408,-3.13452,6.583e-06)
40, 65.0319, (-15.2337,-15.8552,392.496), (0.33956,-1.86005,2.97765)
50, 61.128, (10.3552,22.2045,1104.21), (-1.46172,-3.08855,-0.137177)
60, 75.9781, (1616.32,-122.606,1111.81), (-1.66568,-0.953838,3.29413)
70.0001, 99.1243, (1765.8,-348.308,1038.49), (-2.91813,-3.17763,0.592381)
80.0001, 78.7593, (1599.79,-149.735,1105.73), (-1.06132,-2.46382,-2.80551)
90.0001, 62.6982, (795.326,6.86796,1545.86), (-3.3409,-0.672288,0.617588)
1.00011, 102.967, (2030.95,-385.733,842.872), (-0.869993,3.50278,-2.58314)
5.00005, 98.1146, (1952.48,-338.418,936.404), (1.97608,3.78655,-0.726427)
10, 98.7688, (1789.99,-344.799,965.253), (1.00929,-0.700424,4.16971)
20.0001, 64.789, (-25.4338,-13.4717,-93.8695), (1.04637,-1.6308,2.93949)
30.0001, 62.5793, (-44.2011,8.07013,173.627), (-3.04401,0.922911,1.3618)
40.0001, 61.9608, (-11.7872,14.0963,1331.09), (-0.796481,-1.06828,-3.17463)
50.0001, 64.196, (-6.58825,-7.70581,628.004), (-0.440188,-2.78127,2.08622)
60.0001, 62.2569, (-8.49234,11.1949,1272.47), (-3.36804,0.436911,0.613148)
70, 96.9367, (1666.92,-326.971,1075.46), (-1.85303,2.53319,2.94863)
80.0001, 102.388, (1647.02,-380.126,1114.02), (-1.60709,-0.959083,4.01067)
90.0001, 64.0383, (242.998,-6.19049,1525.36), (-1.90144,1.70567,2.39303)
1.00009, 100.936, (2078.73,-365.927,835.478), (-3.95359,-1.43962,-1.26766)
5.00007, 97.7417, (1645.25,-334.781,1054.23), (-3.62154,0.552949,-2.29738)
10, 102.665, (1573.49,-382.791,1075.21), (4.42289,0.0403891,0.27859)
20.0001, 99.0739, (1794.12,-347.778,996.196), (-3.084,-1.10302,2.86818)
1.00002, 96.2257, (1972.98,-319.998,898.512), (2.98411,-2.74745,1.39852)
