10, 101.482, (21.3877,-14.4519,249.639), (1.78372,2.47297,-3.18081)
10.0001, 103.315, (16.9149,-32.3301,231.124), (1.24518,-1.74447,-3.89511)
20.0001, 97.6029, (8.95094,23.3668,-85.4057), (0.642599,1.68225,-3.92808)
30, 95.9453, (12.9128,39.5264,-95.9741), (-0.787696,-4.14134,-0.764475)
40.0001, 101.996, (-34.4872,-19.4743,34.0243), (0.985859,-2.13904,-3.73707)
50.0001, 101.074, (-10.6822,-10.4875,236.964), (-3.87845,1.268,1.63907)
60.0001, 96.5644, (6.49417,33.4782,129.866), (4.2195,0.235524,-0.783831)
88.0001, 102.224, (15.1028,-21.7209,234.901), (-0.733097,-1.18874,4.19599)
130, 99.651, (-7.18511,3.35638,189.421), (-1.06856,2.52652,3.39697)
10, 104.223, (-12.2856,-41.1775,225.964), (1.64345,-4.08049,0.766699)
20.0001, 99.1228, (-20.4289,8.54652,154.014), (-4.03082,-0.154262,-1.64079)
30, 96.3102, (-13.8025,35.9681,-85.0232), (1.813,-3.88248,0.254557)
40.0001, 100.326, (-34.1148,-3.19068,-131.92), (3.2855,-2.79083,-0.781274)
50, 98.6767, (-27.4674,12.8856,61.741), (4.25132,-0.011611,-0.896825)
60.0001, 99.9155, (36.5091,0.802811,-220.334), (3.6496,0.706906,2.30126)
10, 100.392, (6.31308,-3.82378,81.4446), (0.686468,4.243,-0.855535)
20, 100.311, (-23.9974,-3.03591,-202.662), (3.89982,-0.0916066,-1.99342)
10, 101.726, (1.13115,-16.8347,-161.209), (2.31533,2.39146,-2.89512)
20, 98.9159, (20.4592,10.5637,-226.134), (0.458396,-4.04914,-1.52256)
30.0001, 98.225, (-11.6407,17.2965,220.55), (3.18539,-2.81936,-0.834396)
40, 97.2526, (-15.0095,26.7751,94.5692), (-3.04149,2.09633,2.2272)
50, 96.4917, (17.3323,34.1901,108.956), (-1.11875,1.85122,3.71235)
60.0001, 100.038, (-17.4891,-0.397524,-139.515), (-0.710769,-0.647572,-4.2678)
88.0001, 102.598, (-4.51134,-25.3624,-154.043), (1.52027,3.052,-2.82884)
10, 99.9361, (37.2889,0.619178,-28.874), (-4.16477,-1.19859,-0.580677)
20, 99.3686, (20.9844,6.14904,83.3478), (-0.696929,-4.30396,0.0268151)
30, 97.1157, (-11.482,28.1136,191.061), (1.63271,-3.01685,-2.61005)
40.0001, 103.263, (28.2306,-31.8322,55.2448), (1.8068,-2.06121,-3.49892)
50.0001, 101.309, (22.8207,-12.7848,124.809), (-3.96078,-1.83645,-0.56699)
60.0001, 100.797, (-1.09643,-7.79209,173.359), (2.96469,1.95594,2.58237)
88.0001, 98.3482, (-31.4732,16.0747,-103.292), (-2.6676,-0.551573,-3.37564)
130, 100.12, (-24.361,-1.22026,55.2353), (0.480784,-0.665588,4.29885)
176, 97.5412, (-25.51,23.9117,-78.7536), (-0.157856,1.78481,3.93071)
10.0001, 98.8093, (-31.6325,11.6066,-201.891), (1.49384,-1.50911,3.79401)
20.0001, 97.063, (-13.434,28.6314,155.884), (2.36472,3.4855,0.910384)
30.0001, 103.478, (-24.8436,-33.9269,184.358), (-3.52565,-2.04348,1.78625)
40, 100.528, (9.49724,-5.16086,-243.363), (3.58007,-0.0999428,2.53088)
50, 102.848, (1.96755,-27.7893,183.931), (2.42773,-3.57126,1.01411)
60.0001, 101.418, (-5.18878,-13.8453,217.358), (-2.59758,-1.4327,-3.25614)
10.0001, 96.9954, (-28.135,29.294,-120.426), (1.49868,2.88121,2.83003)
20.0001, 96.5329, (-10.1159,33.8001,3.67463), (3.65127,-1.20856,-1.91719)
30.0001, 103.36, (-3.96747,-32.7765,-97.7339), (3.15247,-1.32139,-2.84429)
40.0001, 102.13, (20.9092,-20.7794,152.938), (-0.142253,-1.68047,4.08589)
50, 104.055, (-4.79873,-39.5539,60.1463), (-0.939143,-4.36172,-0.0210716)
60, 102.943, (0.506304,-28.7222,193.679), (0.259933,-0.691917,-4.37585)
10, 100.562, (-33.9715,-5.48624,128.672), (2.53971,-3.57446,0.109372)
20.0001, 103.573, (-10.7708,-34.8447,30.0512), (-1.37811,3.86048,1.73561)
30.0001, 97.2335, (32.3003,26.9652,-52.3638), (1.69846,-3.02878,-2.55808)
40.0001, 99.1002, (10.0439,8.75944,-108.609), (3.07164,-1.24694,2.823)
50.0001, 103.053, (-9.03659,-29.784,-196.553), (4.057,0.791673,-1.62153)
60, 96.3935, (-15.4659,35.1452,38.8047), (1.96714,0.145385,3.81452)
88.0001, 99.3786, (-17.5488,6.02795,-6.16065), (2.15143,-1.30782,3.55997)
10.0001, 99.6404, (41.1255,3.503,68.9916), (0.170543,-3.6778,2.34675)
20.0001, 96.2194, (11.9849,36.8571,177.824), (0.529578,-4.13623,1.00953)
30, 97.7174, (32.6377,22.2463,-63.1389), (-1.37093,1.5113,-3.81197)
40.0001, 102.615, (33.4062,-25.5134,-178.419), (-2.27782,-2.7861,-2.58472)
50, 100.591, (-37.6436,-5.77617,142.627), (2.82606,2.17629,2.55371)
10.0001, 103.033, (-25.5481,-29.5818,-221.21), (2.50901,-1.25801,-3.44005)
20, 98.409, (22.9125,15.5063,-60.0477), (-1.13551,-1.0963,4.04174)
10, 101.99, (19.513,-19.4127,-130.903), (-3.04312,0.403173,3.17632)
20.0001, 100.958, (-23.0875,-9.35356,-42.179), (3.12437,3.08801,-0.130869)
30.0001, 97.0852, (-9.03298,28.4109,-29.1126), (1.81592,3.79792,-0.92299)
40.0001, 102.487, (17.9304,-24.2613,-80.5404), (-1.15002,2.58255,-3.40807)
50.0001, 95.6502, (-10.8837,42.3967,100.7), (1.08013,0.502432,-4.10853)
60.0001, 102.033, (-9.03532,-19.848,227.443), (0.934936,-4.27943,0.576743)
88, 101.296, (28.6873,-12.6729,224.763), (-0.0321348,0.57031,4.36498)
130, 104.516, (4.38943,-44.0807,44.2597), (2.72817,-2.39122,2.61427)
176, 98.6315, (13.2151,13.2801,221.094), (-1.57076,-1.40713,3.79765)
10, 101.431, (6.08543,-13.9528,50.1473), (-3.53344,1.40045,-2.22678)
20.0001, 99.1784, (1.18078,8.00458,56.7143), (0.363325,-3.37126,2.73436)
10, 101.973, (13.6481,-19.2376,-244.259), (1.83233,-4.01857,-0.0478933)
20, 96.0798, (-17.7811,38.2187,-205.016), (-4.20385,-0.660966,-0.521633)
30.0001, 100.651, (-2.04076,-6.35994,-156.364), (1.83283,3.50693,-1.89686)
40.0001, 95.4931, (-3.80101,43.9316,-44.1246), (-2.04722,-2.09285,3.11415)
50, 101.212, (35.409,-11.8392,-213.308), (0.635893,-1.6701,4.02115)
60.0001, 100.337, (39.4017,-3.30662,129.2), (-1.13246,4.19754,0.542175)
88.0001, 99.8567, (-6.45555,1.36587,-63.5161), (-1.18106,0.397569,4.18938)
130, 100.63, (21.6766,-6.18863,-204.833), (-4.11357,1.52391,0.089758)
10.0001, 102.539, (-32.5171,-24.7654,83.9314), (0.818992,0.984952,4.23984)
20, 99.9893, (37.5319,0.0974141,34.2625), (-0.037206,-3.18917,2.99284)
30.0001, 101.867, (-37.6242,-18.2161,-183.528), (-2.52833,-2.5369,-2.58073)
40.0001, 104.116, (7.05852,-40.1494,77.7551), (-3.0559,-1.59732,-2.83352)
50.0001, 103.556, (2.28773,-34.6939,98.8184), (3.84521,-0.952357,-2.02953)
60.0001, 99.786, (38.0699,2.06558,64.833), (3.06953,3.0623,0.539124)
88, 98.1496, (21.1331,18.0122,-143.925), (1.67951,3.89416,-0.889996)
10.0001, 96.142, (11.929,37.6154,-54.7813), (1.98882,3.51396,-1.44565)
20.0001, 102.987, (-2.54495,-29.1344,-115.634), (2.33362,3.5049,-1.40451)
30, 98.8922, (18.2855,10.7919,190.28), (2.36986,0.891407,3.53674)
40.0001, 100.351, (-16.8344,-3.4334,-185.227), (-2.11775,-0.0300423,3.8357)
10.0001, 97.4652, (6.11059,24.7128,234.176), (-2.61062,-3.43836,0.0932244)
20, 103.533, (-27.4062,-34.453,216.766), (1.59704,1.5025,3.87286)
30, 103.372, (14.3757,-32.888,-50.7769), (-1.48107,3.36707,2.49912)
40.0001, 98.4456, (23.5719,15.1424,-240.578), (-0.369885,3.80511,2.05384)
50.0001, 102.269, (-1.51973,-22.1424,221.864), (0.415941,-2.55117,-3.58941)
60, 102.36, (-20.2439,-23.0365,46.9397), (1.93723,3.37867,-2.10109)
88.0001, 96.6232, (-27.5413,32.894,-75.31), (-0.88082,3.14752,2.79331)
10, 97.3702, (4.11239,25.6391,215.82), (-3.22028,2.55519,-1.31492)
20, 101.411, (12.4365,-13.7639,-5.12013), (1.62864,-3.45122,-2.1995)
30.0001, 102.078, (-1.90503,-20.2685,-238.343), (1.3826,0.783874,4.12344)
10.0001, 101.142, (-8.12261,-11.1352,-200.951), (-0.00243997,-4.27905,-1.01952)
20, 101.737, (-25.6437,-16.9445,-189.408), (-1.15594,-0.00115666,-4.25763)
30, 98.4286, (28.7451,15.3126,100.725), (1.24592,1.63396,3.82211)
40.0001, 97.7761, (-38.588,21.6713,97.0107), (-3.64484,-2.04869,1.10629)
50.0001, 100.414, (-26.6988,-4.05371,-8.62832), (-0.38692,4.28604,-0.831021)
60.0001, 97.5207, (-34.4229,24.1545,32.6501), (-0.944009,0.760726,4.14573)
10, 100.497, (-33.7353,-4.85214,109.727), (-1.47239,-4.09594,0.530793)
20.0001, 100.008, (13.1076,-0.0810318,-20.2087), (3.75557,-1.79945,1.33805)
30, 101.678, (10.545,-16.3682,-246.065), (1.829,-3.62046,1.73185)
40.0001, 101.864, (25.0911,-18.1909,-155.162), (3.60693,2.37369,0.918436)
50.0001, 98.6495, (-25.5929,13.1514,-238.563), (-1.22031,3.94323,1.3545)
10.0001, 98.2258, (-35.8511,17.2969,-245.072), (0.259987,-1.91171,3.88196)
20, 100.179, (31.0067,-1.74751,-101.967), (-2.49664,-2.58417,2.50085)
30.0001, 98.9147, (-9.81899,10.5718,-102.879), (0.499152,-3.41407,2.64927)
40.0001, 101.587, (15.0219,-15.4898,62.1669), (3.87561,-1.4486,-1.5219)
50.0001, 103.281, (-2.92879,-32.0065,25.1379), (2.78056,-1.75813,-2.98937)
10.0001, 100.136, (-6.22565,-1.32928,-78.3201), (2.57056,0.209274,-3.53634)
20.0001, 98.5994, (36.2811,13.6498,-122.297), (0.78686,-3.76833,2.01095)
30.0001, 102.74, (-14.1147,-26.7285,69.4895), (-2.2072,0.88667,3.74133)
40, 96.6015, (0.241094,33.124,-146.214), (1.95201,-2.31249,3.05338)
50, 97.1998, (5.32591,27.2871,-61.7058), (-0.4721,0.758041,4.21878)
60.0001, 101.856, (17.3355,-18.1193,107.452), (-2.44451,1.16289,3.48689)
88.0001, 103.036, (-15.6891,-29.6348,51.5274), (-0.83896,1.60371,-4.05418)
130, 100.127, (-33.8416,-1.28372,-100.412), (-1.22986,-4.07502,-1.01846)
10, 100.89, (-28.9768,-8.67913,14.977), (2.09231,3.38449,1.86251)
10.0001, 102.772, (-6.30569,-27.0321,-9.15207), (-2.00365,2.2368,3.26247)
20.0001, 100.517, (39.9107,-5.0458,197.993), (-1.27643,-3.80477,-1.76765)
30.0001, 101.6, (1.66541,-15.6155,-241.987), (-2.57572,1.04545,-3.42201)
40, 102.711, (-28.12,-26.4511,139.956), (-4.2254,0.665211,1.16337)
50.0001, 98.4339, (6.61089,15.2529,19.84), (2.02688,1.89135,3.3386)
10, 99.3272, (-4.71191,6.55631,-48.0319), (2.17081,-1.79751,-3.32553)
20.0001, 95.9935, (6.44203,39.0596,-172.729), (-1.41423,-2.5168,3.16709)
30.0001, 100.955, (-9.78564,-9.32713,-177.718), (-3.05409,0.691064,3.08367)
40.0001, 99.5691, (-29.9332,4.18753,-16.1833), (-3.26844,-2.38371,-1.63831)
50, 97.7996, (-16.6223,21.438,-206.2), (-0.467963,4.25246,0.638673)
60, 98.1371, (-12.8687,18.1432,-212.941), (1.42738,-3.83748,1.41818)
88, 100.712, (30.3394,-6.97806,-14.0662), (0.301074,-4.31389,0.753213)
130, 97.2415, (-31.9586,26.8518,17.0791), (1.977,-2.4963,-2.90921)
176, 101.596, (-19.8858,-15.6261,110.069), (-1.04962,-4.23147,-0.655445)
10.0001, 100.339, (28.954,-3.31339,178.132), (-0.521387,0.0725413,4.34961)
20.0001, 96.7111, (12.5621,32.0628,-39.8207), (3.44513,-1.58647,2.02885)
30, 100, (-24.5737,-0.0116709,164.587), (3.60325,-1.79675,1.70869)
40.0001, 104.04, (-4.83642,-39.4067,100.531), (-3.15651,0.573718,-3.10024)
50.0001, 96.8729, (-0.685675,30.4743,-48.2928), (-0.856426,4.10961,0.954286)
60.0001, 101.281, (-35.4084,-12.5096,-81.7381), (1.27615,-0.89992,4.11557)
88.0001, 97.5892, (-10.4131,23.4766,56.257), (4.31979,0.0971283,0.00721937)
10.0001, 101.527, (-12.5796,-14.896,-156.162), (-2.55102,-3.58756,0.212605)
20.0001, 99.542, (-11.7373,4.45932,213.392), (-4.36224,-0.0854667,0.0850453)
30.0001, 101.681, (-40.3579,-16.4049,138.174), (4.01466,1.3302,1.25141)
40, 101.695, (-4.73174,-16.545,241.108), (-1.65651,3.74347,-1.64257)
50.0001, 104.412, (-4.36637,-43.0377,-67.1585), (2.46827,3.63846,-0.802855)
10, 101.443, (-10.0535,-14.0768,-237.177), (-3.9933,-0.955115,-1.59647)
20, 104.409, (-11.2858,-42.9963,101.033), (-1.54747,-4.13836,-0.673854)
10.0001, 96.9709, (-3.41831,29.5326,64.7745), (1.87307,-2.74086,-2.74428)
20.0001, 100.828, (-13.9702,-8.08467,-49.587), (1.46676,-4.13965,-0.0415893)
30, 102.217, (3.46198,-21.6308,234.887), (-3.59066,0.358867,2.55614)
40, 98.5961, (-37.4036,13.6754,-208.965), (-2.03184,-0.30969,-3.82602)
50, 99.6769, (17.0354,3.13262,-44.3858), (4.18122,0.928443,0.851393)
60.0001, 97.4004, (-21.7395,25.3266,213.257), (0.900065,3.03043,-2.93944)
88.0001, 103.633, (15.6372,-35.456,210.8), (2.33936,1.83573,-3.31419)
130, 98.4715, (-2.90839,14.8576,-22.5409), (-2.88322,0.30704,3.2298)
176, 100.957, (-14.9028,-9.3963,-196.438), (-1.09713,-4.12958,-1.02823)
10, 101.295, (4.16413,-12.631,-243.398), (1.17127,3.83199,1.82291)
20, 97.457, (12.6623,24.7894,-175.58), (-2.89928,2.95088,1.23743)
30.0001, 100.336, (2.29384,-3.28933,-155.89), (-0.58262,2.52555,-3.53239)
40.0001, 102.595, (11.1415,-25.314,-160.204), (3.93593,1.93321,0.631542)
50, 99.1507, (28.498,8.26352,137.825), (1.88943,3.69015,1.33478)
60, 100.203, (-2.11555,-2.00561,-7.75175), (2.9697,-3.20645,0.264085)
88, 103.485, (-2.0396,-34.015,-246.396), (-1.73219,3.10482,2.67538)
10.0001, 102.516, (-16.0188,-24.5339,-181.992), (-3.73073,0.257869,-2.37229)
20.0001, 96.0912, (-14.0987,38.1071,226.689), (-1.45324,1.7269,3.64546)
30, 100.641, (34.0442,-6.26422,177.546), (1.95771,-0.824653,-3.83944)
40.0001, 100.674, (41.9,-6.58612,195.307), (-0.916539,0.738753,4.22782)
10, 102.125, (-23.5172,-20.7206,-237.685), (0.984348,-4.19788,-0.972926)
20, 100.02, (43.2326,-0.204771,141.898), (0.998325,3.3848,-2.58489)
30, 98.242, (19.316,17.1307,145.429), (-2.11,3.78602,-0.0944973)
40.0001, 100.021, (36.1689,-0.222459,105.83), (-0.315655,-3.68496,-2.33598)
50, 101.522, (-17.7253,-14.8542,-37.7887), (-2.96251,-1.65033,-2.81466)
60, 99.557, (32.1059,4.29878,37.196), (0.871239,-0.421559,4.25556)
88.0001, 97.7028, (-31.7232,22.368,-119.966), (-4.24373,-0.635866,-0.527526)
130, 102.839, (-30.5517,-27.7342,-127.803), (0.0557446,-2.16336,-3.87186)
10.0001, 97.2584, (31.7846,26.7298,-67.9905), (-3.58684,1.78217,1.60164)
20.0001, 103.958, (1.74112,-38.6027,-36.6903), (1.81045,-3.7381,1.624)
30, 101.046, (20.3703,-10.2099,-76.6242), (-3.05288,-2.95858,-1.12166)
40.0001, 102.389, (-24.9289,-23.3046,-50.5795), (0.0774141,4.42455,-0.075168)
50.0001, 101.339, (12.1087,-13.0707,-178.801), (1.0289,-4.26223,-0.402699)
60.0001, 99.4562, (39.3774,5.28125,41.6786), (-1.20263,0.439319,-4.16988)
88, 99.7694, (43.0928,2.21722,209.329), (-2.77556,2.57962,2.17463)
130, 100.202, (13.3285,-2.01204,211.915), (2.89504,-2.8682,-1.60064)
176, 97.6725, (-11.9199,22.6324,48.438), (-3.63226,2.17282,0.878384)
10.0001, 102.496, (13.3131,-24.3436,205.307), (-1.92372,-3.97394,-0.340555)
20.0001, 98.6264, (21.4848,13.3872,-44.3838), (1.622,3.98031,0.628322)
10, 97.9079, (-39.3319,20.3966,197.662), (4.06683,1.36949,-0.562555)
10.0001, 97.0077, (-21.0726,29.1735,234.579), (0.419111,1.45725,-4.03232)
20.0001, 102.085, (-19.0518,-20.3369,-25.0293), (3.5832,-0.756113,2.47369)
30.0001, 98.1622, (-7.34651,17.9087,-138.773), (-1.52236,4.04553,-0.309516)
